Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
Lenovo,Lenovo S5 Pro,sprout,5715-5716MB,Phone,Qualcomm SDM636,1080x2246,480,arm64-v8a;armeabi-v7a;armeabi,27;28,3.2
Lenovo,Z6,jd20,5613MB,Phone,Qualcomm SM7150,1080x2340,480,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Lenovo,Z6,zippo,7527MB,Phone,Qualcomm SM8150,1080x2340,480,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Lenovo,Lenovo Tab M8 ,8505X,1829MB,Phone,Mediatek MT8766A,800x1280,240,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Lenovo,Lenovo Tab M8,8505F,1864MB,Phone,Mediatek MT8766A,800x1280,240,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Lenovo,Lenovo Tab M8,8505FS,1864MB,Tablet,Mediatek MT8766A,800x1280,213,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Lenovo,Lenovo TAB4 8 REL,TB-8604F,1869MB,Tablet,Qualcomm MSM8917,800x1280,213,arm64-v8a;armeabi-v7a;armeabi,27,3.0
Lenovo,Lenovo Z5 Pro,heart,7527MB,Phone,Qualcomm SDM855,1080x2340,480,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Lenovo,Lenovo TAB4 10,X304L,1878MB,Tablet,Qualcomm MSM8917,1280x800;800x1280,160,arm64-v8a;armeabi-v7a;armeabi,25;27,3.0
Lenovo,Lenovo TAB4 10,X304F,1919-1920MB,Tablet,Qualcomm MSM8960,800x1280,160,arm64-v8a;armeabi-v7a;armeabi,25;27,3.0
Lenovo,Lenovo TAB4 10,X304X,1878MB,Tablet,Qualcomm MSM8917,1280x800;800x1280,160,arm64-v8a;armeabi-v7a;armeabi,25;27,3.0
Lenovo,Lenovo K9,K9,2791MB,Phone,Mediatek MT6762,1440x720,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Lenovo,Thinkpad 13 Chromebook,sentry_cheets,3846MB,PC,Intel 3855U,1920x1080;768x1366,160,x86;armeabi-v7a;armeabi,25;28,3.1
Lenovo,Lenovo Tab V7,PB-6505MC,1819MB,Phone,Qualcomm SDM450,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Lenovo,Lenovo Tab V7,PB-6505M,3576MB,Phone,Qualcomm SDM450,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Lenovo,Lenovo Tab V7,PB-6505Y,2824MB,Phone,Qualcomm SDM450,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Lenovo,Lenovo TAB5,801LV,2841MB,Tablet,Qualcomm SDM450,1200x1920,240,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Lenovo,Lenovo A6 Note,Lenovo_A6_Note,2816MB,Phone,Mediatek MT6762,720x1560,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Lenovo,Lenovo A5,L18011,2833MB,Phone,Mediatek MT6739CH,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Lenovo,Lenovo A5,L18021,2840MB,Phone,Mediatek MT6739CH,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Lenovo,Lenovo Tab E10,X104L,2916MB,Tablet,Qualcomm MSM8909,800x1280,160,armeabi-v7a;armeabi,27,3.0
Lenovo,Lenovo Tab E10,X104F,1947MB,Tablet,Qualcomm APQ8009,800x1280,160,armeabi-v7a;armeabi,27,3.0
Lenovo,Lenovo Tab E10,X104X,1902MB,Tablet,Qualcomm APQ8009,800x1280,160,armeabi-v7a;armeabi,27,3.0
Lenovo,Z5s,jd2019,5680MB,Phone,Qualcomm SDM710,1080x2340,480,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Lenovo,L38011,k5,2861MB,Phone,Qualcomm MSM8937,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,26,3.2
LEOMO,LEM-TS1,LMS,2811MB,Phone,Qualcomm SDM439,240x400,120,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Leotec,Qi216,Qi216,1966MB,Tablet,Mediatek MT8167B,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Leotec,Supernova_i216,Supernova_i216,1996MB,Tablet,Rockchip RK3126C,1280x800,160,armeabi-v7a;armeabi,27,2.0
Leotec,mid1016_mk_64,mid1016_mk_64,1961MB,Tablet,Mediatek MT8167A,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Leotec,Letab1020,Letab1020,1975MB,Tablet,Mediatek MT8163,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,27,3.1
Leotec,LEOTEC,LETAB731,981MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,27,2.0
Lephone,S104G,S104G,919MB,Phone,Mediatek MT6737,800x1280,240,armeabi-v7a;armeabi,27,3.1
Lesia,K5,K5,932MB,Phone,Mediatek MT6580,480x960,240,armeabi-v7a;armeabi,27,2.0
Lexia Mobile,S3,S3,957MB,Phone,Mediatek MT6580,480x960,240,armeabi-v7a;armeabi,27,2.0
Lexibook,LexiTab® Master,MFC149,981MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,27,2.0
LGE,LG Aristo 3+,cv1s,1868MB,Phone,Qualcomm MSM8917,720x1280,320,armeabi-v7a;armeabi,27;28,3.0
LGE,Q8,cv7an,3636-3641MB,Phone,Qualcomm SDM450,1080x2160,420,armeabi-v7a;armeabi,27;28,3.2
LGE,Q8,anna,3778-3781MB,Phone,Qualcomm MSM8996,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,24;26,3.2
LGE,LG Premier Pro,cv3,1863-1866MB,Phone,Qualcomm MSM8917,720x1280,320,armeabi-v7a;armeabi,25;27;28,3.0
LGE,LG K40,mh4-pr,1859-1863MB,Phone,Qualcomm SDM450,720x1440,280,armeabi-v7a;armeabi,27;28,3.2
